,City Location,Company Name,Degree,Description,Job Title,Search Criteria,Source
202,"Cincinnati, OH",Miles Technologies,user+support,"
Identify technology solutions based on analysis of customer support needs. Hours are not guaranteed you will be providing support on an as needed basis....",Part-Time Onsite IT Consultant (Technical Support),user+support,Indeed
203,"Columbus, OH",The Shipyard,user+support,"
If you like to help design, build, sell, and support solutions that answer tough business questions, The Shipyard is a great place to be....",Client Success Specialist,user+support,Indeed
204,"Columbus, OH","Digital Management, Inc.",user+support,"
Application Support Administration :. The support required will included enterprise level web site management in support of end-user portal access and...",Junior Application Administrator,user+support,Indeed
205,"Dayton, OH",Ball Aerospace,user+support,"
Provide first level user support, software installation services, and break/fix services for users at multiple classification levels....",Information Technology Aide (659952),user+support,Indeed
206,"Cincinnati, OH",Reztark Design Studio,user+support,"
Help Desk Support. Drone/UAV (strong bonus) Printer Support. Conduct technology training for new users. Conduct briefings and demonstrations for users to...",Technology Specialist,user+support,Indeed
207,"Dublin, OH 43017",Fast Switch,user+support,"
Maintain and seek knowledge about current industry-wide support practices and the potential impact on the support business....",IT Service Center Analyst,user+support,Indeed
208,"Dublin, OH",Cardinal Information Group,user+support,"
EIT Service Center Analyst, End User Customer for EDI Support provides technical support and assistance to customers using computer hardware, standard desktop...",End User Customer Analyst (EDI),user+support,Indeed
209,"Wright-Patterson AFB, OH",MEI Technologies,user+support,"
Perform user account management activities to include the verification, validation, and creation of user accounts and user groups....",Information Assurance and System Administration Support,user+support,Indeed
210,"Columbus, OH",Marathon TS,user+support,"
We are seeking a Video Teleconferencing (VTC) Specialist to join us in support of our DoD customer in Columbus, OH....",VTC Specialist,user+support,Indeed
211,"Columbus, OH",PCM,user+support,"
Provide end user and customer phone support, resolve technical issues, log and escalate calls as appropriate....",Help Desk Analyst,user+support,Indeed
212,"Dublin, OH","Fiserv, Inc.",user+support,"
4 weeks As the newest associate in Card Services, you will provide inbound call support to bank and credit card customers....",Inbound Banking Customer Service,user+support,Indeed
213,"Columbus, OH",JPMorgan Chase,user+support,"
Provide Clarity PPM Administration support to technology and business users. Support Demand Management, Project....",Clarity I.T. Business Management Lead -VP,user+support,Indeed
214,"Columbus, OH",TEKSystems,user+support,"
We have an immediate need for a hands-on desktop support technician. This individual will be moving around and resolving technical issues for end users desk...",Deskside IT Support,user+support,Indeed
215,"Cincinnati, OH 45202 (Mount Adams area)",Insight Global,user+support,"
They will be responsible for providing support to end users on a variety of issues, as well as for identifying, researching, and resolving technical problems....",Desktop Support Technician,user+support,Indeed
216,"Cincinnati, OH","Pro4ia, Inc.",user+support,"
Day-to-day desktop support. Input all service requests and incidents into the helpdesk tool....",Level 1/2 Desktop Support,user+support,Indeed
217,"Cincinnati, OH",GE Global Operations,user+support,"
Evaluate 3rd party SOC reporting and appraise coverage of user control considerations. Define analytics to identify high risk events and transactions in support...",Operational Controllership Specialist – IT,user+support,Indeed
218,"Mason, OH",Anchor Point Technology Resources,user+support,"
Provide support to users within assigned business units, and assist other team members with support task, as required....",Enterprise Application Database Administrator,user+support,Indeed
219,"Cincinnati, OH",Path Forward,user+support,"
Perform basic user creation and maintenance tasks. Provide support of computers, applications, peripherals, networks and servers....",Service Support Technician,user+support,Indeed
220,"Dayton, OH",Radiance Technologies Inc.,user+support,"
Regular on-site support for this function requires a 40-hour, dayshift workweek. The System Administrator will advance the capabilities of the National Air and...",System Administrator,user+support,Indeed
221,"Columbus, IN 47201",Cummins Inc.,user+support,"
Provides L3 technical support. Provides level 3 support for critical issues. Solution Construction - Ability to select desired options to make a commercial off...",IT Systems Analyst,user+support,Indeed
222,"Cincinnati, OH",Lumenate,user+support,"
The NOC Analyst will serve as the primary resource for client cases and provide end user support as required....",NOC Analyst,user+support,Indeed
223,"Wilmington, OH 45177",R+L Carriers,user+support,"
3+ Years IT support experience. The selected candidates will provide end-user first level phone support of hardware and software;...",Service Desk Analyst,user+support,Indeed
224,"Bexley, OH 43209 (Bexley area)","VARtek Services, Inc.",user+support,"
Provides user support for desktop and LAN-based applications. Provide excellent customer service and user support for desktop and LAN-based applications....",Classroom Technology Coach - Columbus,user+support,Indeed
225,"Dublin, OH",Nationwide Mutual Insurance Company,user+support,"
Supports the research, analysis and presentation of information by:. Trains other users on report preparation and data base access....",Business Information Specialist (Recovery/Subrogation),user+support,Indeed
226,"Columbus, OH",Heska,user+support,"
The Field Support Representative (FSR) supports our field sales activity and operations. In-clinic visits, troubleshooting, maintenance and support....",Field Support Representative,user+support,Indeed
227,"Columbus, OH",NES Associates LLC,user+support,"
A minimum of 2 years project coordination support. Training documentation to assist with transitioning users to adopt a standard SDLC process....",MOCAS - Project Coordinator,user+support,Indeed
228,"Dayton, OH",SAIC,user+support,"
(d) Provides support to end users on a variety of issues. (h) Provides second-tier support to end users for either PC, server, or mainframe applications or...",Helpdesk Specialist (Journeyman) Job,user+support,Indeed
229,"Dayton, OH 45458",Ping IT Services,user+support,"
Experience writing technical documentation, user manuals, etc. Provide on-call support to help ensure 100% network availability....",Field Network Engineer,user+support,Indeed
